ASV,Total_reads,LME1634,LME1635,LME1636,LME1637,LME1646,LME1652,LME1656,LME1663,LME1668,LME1670,LME1679,LME1689,LME1692,LME1695,LME1698,LME1701,LME1702,LME1705,LME1708,LME1714,Kingdom,Kingdom_confidence,Phylum,Phylum_confidence,Class,Class_confidence,Order,Order_confidence,Family,Family_confidence,Genus,Genus_confidence,Species,Species_confidence,Accepted_rank,Accepted_confidence,Strand
ASV263,42,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,0.98,Magnoliopsida,0.97,,0.32,,0.32,,0.21,,,Class,0.97,+
ASV264,41,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.65,,0.62,,0.2,,0.2,Class,1.0,+
ASV267,39,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Malpighiales,0.83,,0.78,,0.75,,0.2,Order,0.83,+
ASV268,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.59,,0.42,,0.14,,0.14,Class,1.0,+
ASV269,38,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.55,,0.49,,0.16,,0.16,Class,1.0,+
ASV270,38,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.6,,0.43,,0.13,,0.12,Class,1.0,+
ASV271,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.72,,0.72,,0.33,,,Class,1.0,+
ASV272,37,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.76,,0.76,,0.41,,,Class,1.0,+
ASV274,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.64,,0.63,,0.38,,0.35,Class,1.0,+
ASV275,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,0.98,,0.36,,0.36,,0.19,,,Class,0.98,+
ASV276,35,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.5,,0.47,,0.43,,0.31,Class,1.0,+
ASV278,34,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.44,,0.34,,0.24,,0.16,Class,1.0,+
ASV28,1959,0,0,0,0,0,0,0,0,0,0,1959,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.77,,0.74,,0.2,,,Class,1.0,+
ASV281,33,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.55,,0.53,,0.08,,0.07,Class,1.0,+
